,Price,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Es_Turbo,Cilindrada,Antiguedad_Anios
71,15800,769.0,7,446,4,1,1,255456,4.0,0,1,4,0,12,4,0,2.2,15
72,43952,1249.0,22,808,10,1,1,111643,4.0,0,1,4,0,7,4,0,2.5,9
73,53154,891.0,22,1259,4,1,1,84506,4.0,0,1,4,0,12,4,0,2.0,10
74,14740,645.0,55,1116,3,0,2,288000,4.0,0,1,4,0,14,8,0,1.8,15
75,42337,991.28,15,1020,0,1,5,75000,4.0,2,2,2,0,12,6,1,2.3,10
76,3763,1053.0,34,958,4,1,5,94362,6.0,0,2,4,0,14,12,0,3.5,12
77,18189,595.19,55,1116,9,0,5,175000,4.0,0,1,4,0,12,8,0,1.8,14
78,862,2455.0,30,777,4,1,5,263190,8.0,0,0,4,0,14,0,0,4.7,18
80,5645,1324.0,55,821,4,1,2,264877,6.0,0,0,4,0,14,12,0,3.3,16
81,7527,830.0,55,1515,9,1,5,27656,4.0,0,1,4,0,14,12,0,1.5,7
82,21953,1187.0,20,471,9,0,2,16000,8.0,0,0,4,1,14,10,0,1.4,12
83,8154,1686.6,20,513,4,0,5,0,4.0,0,0,4,1,14,2,0,2.0,28
84,21953,781.0,55,425,9,0,5,195053,4.0,0,1,4,0,1,0,0,2.5,14
85,19121,531.0,22,617,9,1,5,121362,4.0,0,1,4,0,1,4,0,1.6,14
86,36065,639.0,22,1259,4,1,1,69191,4.0,0,1,4,0,14,4,0,2.0,12
87,8781,1111.0,20,667,3,1,2,83000,4.0,2,1,4,1,6,12,0,1.3,14
88,6247,760.0,7,523,9,1,5,40772,4.0,0,1,4,0,1,4,0,1.8,16
89,16289,642.0,7,1056,4,1,1,172000,4.0,0,1,4,0,7,4,0,2.0,14
90,77775,1604.0,34,760,4,1,5,433811,8.0,0,0,4,0,1,10,0,5.5,12
91,2822,2328.77,4,139,9,1,5,350000,6.0,1,2,4,0,2,2,0,2.0,31
92,549,781.0,52,707,4,1,5,148213,4.0,0,0,4,0,2,0,0,2.5,14
93,6981,1095.0,10,910,9,1,5,103246,4.0,0,1,4,0,1,4,0,2.0,18
94,27284,891.0,22,617,9,0,5,105394,4.0,2,1,4,0,1,12,0,2.0,10
95,32929,640.0,4,111,1,1,5,160000,4.0,0,2,2,0,1,12,1,2.0,13
96,18817,4658.57,39,1105,4,0,1,333333,4.0,1,2,4,0,1,0,1,2.8,36
97,4234,1348.15,20,471,3,1,5,0,4.0,1,1,2,0,2,6,0,1.4,29
98,15053,4028.16,34,583,9,1,5,214000,6.0,2,2,4,0,7,8,0,3.2,22
99,15458,966.0,22,784,1,1,5,123346,4.0,0,1,4,0,1,4,0,2.0,17
100,2901,473.0,7,523,9,1,5,80827,4.0,0,1,4,0,6,12,0,1.4,12
101,706,1138.0,43,195,1,1,5,64464,6.0,0,2,2,0,1,12,0,3.8,13
103,15681,1811.0,30,776,4,1,5,275240,8.0,0,0,4,0,12,0,0,4.6,16
104,26657,2074.25,34,1315,6,0,1,300000,4.0,1,2,4,0,14,1,1,2.2,22
105,10663,988.0,55,1116,3,0,5,318400,4.0,0,1,4,0,12,6,0,1.5,19
106,12858,765.0,15,701,9,0,5,91200,4.0,0,1,4,0,13,10,0,2.0,11
107,1019,917.0,4,1477,4,1,1,137802,6.0,0,0,4,0,1,12,0,3.0,13
108,549,917.0,4,157,9,1,2,151586,6.0,0,2,4,0,14,12,0,3.0,13
109,12858,885.19,27,1108,3,0,5,107000,4.0,1,1,4,0,12,2,0,1.2,10
110,15000,1599.52,4,90,9,1,0,210408,6.0,2,2,4,0,14,12,0,3.0,18
111,85553,1156.0,15,660,4,1,5,100567,4.0,0,1,4,0,1,4,0,2.3,9
112,44752,1091.0,22,808,10,1,1,86000,4.0,0,1,4,0,7,4,0,2.5,10
113,17158,687.0,22,617,9,1,5,122740,4.0,0,1,4,0,14,4,0,1.6,16
114,12231,3872.8,37,242,4,0,4,144000,4.0,2,0,4,1,14,16,0,2.4,21
115,11917,11714.0,34,601,9,1,5,150000,12.0,2,2,4,1,14,12,0,5.0,23
116,1254,1338.66,37,912,9,0,5,100000,4.0,1,2,4,0,11,0,0,1.3,29
118,25591,640.0,51,902,4,1,1,85704,4.0,0,1,4,0,12,4,0,2.0,13
119,14897,836.0,22,1259,4,1,1,58962,4.0,0,1,4,0,14,4,0,2.0,16
120,23521,779.0,55,425,9,1,2,90000,4.0,2,1,4,0,14,12,0,2.5,13
121,3450,1186.75,44,475,3,0,5,50000,3.0,1,1,2,0,6,0,0,1.2,31
122,706,777.0,33,174,9,1,5,0,4.0,0,1,4,0,11,12,0,2.5,12
123,1019,1537.0,55,821,9,1,2,318358,6.0,0,0,4,0,1,12,0,3.3,17
124,16935,765.0,15,725,9,1,5,71454,4.0,0,1,4,0,1,0,0,2.0,11
125,19444,781.0,55,425,9,1,5,0,4.0,2,1,4,0,1,6,0,2.5,14
126,11604,639.0,22,1286,9,1,4,346470,4.0,0,1,4,0,12,4,0,2.0,12
127,51965,891.0,22,1259,4,1,1,59515,4.0,0,1,4,0,2,4,0,2.0,10
128,706,394.0,55,425,9,1,2,115312,4.0,0,1,4,0,7,12,0,2.5,12
129,9408,1918.23,34,315,9,0,1,111111,4.0,1,2,4,0,12,4,1,2.2,27
130,13328,1347.0,22,808,7,1,1,74444,4.0,0,1,4,0,15,4,0,2.5,18
131,17876,642.0,39,1269,7,0,5,143000,4.0,2,1,4,1,14,12,0,2.0,14
132,549,2866.0,39,988,9,1,5,299709,6.0,0,1,4,0,7,12,0,3.5,22
133,20071,1296.0,55,1174,4,0,5,135000,4.0,0,0,4,0,12,8,0,2.4,18
134,22894,862.0,22,808,7,1,1,124444,4.0,0,1,4,0,15,4,0,2.5,15
135,2901,503.0,20,471,9,1,2,146403,4.0,0,1,4,0,14,0,0,1.5,14
136,15681,5276.44,37,1073,4,0,5,142000,4.0,0,0,2,0,2,6,0,2.4,29
137,39829,1811.0,30,776,4,1,5,155821,8.0,0,0,4,0,1,0,0,4.6,16
138,706,1646.0,30,776,4,1,5,102907,8.0,0,0,4,0,1,0,0,4.6,11
139,18660,751.0,22,1286,9,1,5,130000,4.0,2,1,4,0,1,6,0,2.4,13
140,22580,1017.0,34,581,9,1,5,50930,4.0,0,2,4,0,1,12,0,2.0,9
141,11604,639.0,22,1286,9,1,4,264872,4.0,0,1,4,0,12,4,0,2.0,12
143,5488,751.0,17,1343,4,1,5,138958,4.0,0,1,4,0,1,12,0,2.4,13
144,4300,4477.42,34,27,10,0,1,1111111,4.0,1,2,4,0,1,1,0,2.5,41
145,18817,609.0,55,425,9,1,2,35058,4.0,0,1,4,0,14,12,0,2.5,8
146,21169,697.0,20,831,4,0,5,33330,4.0,0,0,4,0,7,8,0,1.8,11
147,9095,699.9793333333332,14,119,1,0,5,141000,4.0,0,1,2,1,11,4,0,1.2,15
148,1568,639.0,58,866,9,1,1,82392,4.0,0,1,4,0,12,12,0,2.0,12
149,3136,1717.46,52,926,2,0,5,180000,6.0,2,0,4,1,2,6,1,2.0,21
150,17876,585.0,22,633,9,1,5,117920,4.0,2,1,4,0,7,12,0,1.8,13
151,11290,891.0,22,1286,9,1,4,279787,4.0,0,1,4,0,12,4,0,2.0,10
152,36065,1399.0,55,1272,7,1,5,227200,6.0,2,1,4,0,14,16,0,3.5,16
153,862,394.0,55,425,9,1,2,130478,4.0,0,1,4,0,14,12,0,2.5,12
154,21395,781.0,22,808,10,1,1,166144,4.0,0,1,4,0,12,4,0,2.5,14
155,15681,891.0,22,1286,9,1,4,258706,4.0,0,1,4,0,12,4,0,2.0,10
156,627,475.0,7,1448,4,1,2,188419,4.0,0,1,4,0,11,0,0,1.4,14
157,40070,690.0,55,253,3,1,5,25807,4.0,0,1,4,0,1,4,0,1.5,10
158,11917,965.76,34,204,3,0,5,180000,4.0,0,1,4,0,5,8,0,1.7,18
159,72130,1079.0,30,1026,4,1,5,18918,4.0,2,1,4,0,1,6,1,2.0,8
160,35927,640.0,51,1188,4,1,1,137267,4.0,0,1,4,0,12,4,0,2.0,13
161,21012,308.0,55,1116,9,0,2,160000,4.0,0,0,4,0,14,4,0,1.8,12
162,21012,1823.0,55,1348,9,1,5,27358,6.0,0,1,4,0,7,12,0,3.5,8
163,13172,1361.0,27,453,7,1,1,84176,4.0,0,1,4,0,14,6,0,2.9,17
164,15624,707.0,22,784,1,1,5,107005,4.0,0,1,4,0,7,4,0,2.0,15
165,4547,1410.17,40,1403,9,0,5,15000,4.0,1,1,4,0,0,2,0,1.6,29
166,5488,1273.0,23,1161,4,1,5,124154,6.0,0,0,4,0,1,12,0,3.5,11
167,20005,531.0,22,617,9,1,5,104997,4.0,0,1,4,0,14,4,0,1.6,14
168,36110,924.0,58,1083,9,1,5,27728,6.0,2,1,4,0,12,8,0,1.8,9
169,7840,2498.71,34,570,9,1,5,777777,6.0,1,2,4,0,2,4,0,2.4,28
171,1300,770.08,3,118,1,1,5,4000,1.0,2,2,5,1,2,0,0,0.5,8
172,43880,891.0,22,1259,4,1,1,113700,4.0,0,1,4,0,12,4,0,2.0,10
173,29479,584.0,34,324,9,1,5,69000,4.0,2,2,4,0,7,8,1,1.8,12
174,17249,862.0,55,425,9,1,2,152000,4.0,3,1,4,0,14,12,0,2.5,15
175,9408,1505.58,55,1446,10,0,5,181926,4.0,0,0,4,1,12,2,0,1.5,23
176,44213,891.0,22,1259,4,1,1,50255,4.0,0,1,4,0,11,4,0,2.0,10
177,8467,2078.0,4,86,9,1,5,252800,6.0,1,2,4,0,7,6,0,2.5,25
178,627,915.0,3,223,9,1,5,164488,6.0,0,0,4,0,12,12,0,3.0,12
179,21950,831.0,15,1369,2,0,1,125000,4.0,1,0,4,0,14,2,1,2.4,15
180,706,475.0,14,119,3,1,5,164574,4.0,0,1,4,0,11,12,0,1.4,14
181,3136,473.0,7,523,9,1,5,156992,4.0,0,1,4,0,1,12,0,1.4,12
182,3450,1928.11,40,1403,9,0,0,0,4.0,1,1,4,0,14,2,0,2.0,31
183,9408,3356.45,37,1073,4,0,5,11000,6.0,2,0,4,1,12,4,1,3.5,28
184,31500,1592.75,39,1100,4,1,4,90200,6.0,2,0,4,0,1,12,0,4.0,16
185,20385,3895.21,37,544,7,1,5,184000,6.0,0,0,4,1,14,12,0,3.0,21
187,2300,1928.11,58,790,9,0,0,0,4.0,1,1,4,0,6,0,0,2.0,30
188,7840,2870.73,34,1401,10,0,4,170000,4.0,2,1,4,0,12,4,0,1.9,22
189,56450,1286.06,55,435,9,1,5,25000,4.0,2,1,4,0,2,12,0,2.5,8
190,1490,639.0,58,866,10,1,1,113214,4.0,0,1,4,0,7,12,0,2.0,12
191,627,836.0,55,1348,9,1,5,394069,4.0,0,2,4,0,1,12,0,2.7,14
193,13172,2021.72,20,513,4,0,5,260000,4.0,0,0,4,0,12,6,0,2.4,24
194,19757,5071.47,39,1106,4,0,1,222222,4.0,1,2,4,0,1,0,1,2.8,36
195,4704,917.0,3,230,3,1,5,301707,6.0,0,0,4,0,7,0,0,3.0,13
196,706,751.0,22,1286,9,1,5,175827,4.0,0,1,4,0,1,12,0,2.4,13
197,5802,1055.0,34,587,9,1,1,107800,6.0,0,2,4,0,7,12,0,3.5,13
198,25716,777.0,55,425,9,0,5,115200,4.0,0,1,4,0,12,8,0,2.5,12
199,14426,642.0,7,1056,4,1,4,132036,4.0,0,1,4,0,14,4,0,2.0,14
200,10820,3663.41,55,1174,4,0,5,91000,4.0,0,0,2,1,12,4,0,2.0,25
201,45436,1172.0,15,660,4,1,5,129177,4.0,0,1,4,0,14,4,0,3.5,15
202,11917,893.0,22,834,3,0,1,201000,4.0,1,1,4,0,1,8,0,1.6,18
203,41281,765.0,22,1259,4,1,1,185811,4.0,0,1,4,0,1,4,0,2.0,11
204,4391,2377.94,39,251,9,0,5,358400,4.0,1,1,4,0,3,2,0,2.4,28
205,3058,1872.0,43,455,9,1,5,28968,6.0,0,0,4,0,14,12,0,3.6,8
206,3700,1601.25,1,16,1,1,5,240000,4.0,1,1,2,0,1,4,0,1.8,25
207,15681,893.0,53,805,4,0,5,98000,4.0,0,0,2,0,1,12,0,1.6,18
208,6586,645.0,30,403,3,1,2,122302,4.0,0,1,4,0,1,0,0,1.8,15
209,12544,988.0,55,1116,3,0,2,140000,4.0,0,1,4,0,0,6,0,1.5,19
210,30063,639.0,22,1389,4,1,1,120000,4.0,0,1,4,0,14,4,0,2.0,12
211,72130,1885.0,43,1080,3,1,5,196800,8.0,2,0,4,0,14,8,0,4.8,16
212,21639,630.16,22,1412,3,0,5,17200,4.0,2,1,2,0,11,10,0,1.6,11
213,36692,779.0,55,1182,4,0,5,120000,4.0,2,1,4,0,14,0,0,2.5,13
215,12231,1266.0,55,253,3,0,2,66000,4.0,3,1,4,1,12,4,0,1.5,12
216,3136,1752.44,55,1273,9,0,5,300000,4.0,3,1,4,1,0,4,0,1.5,22
217,10663,878.0,55,1116,9,1,2,230000,4.0,3,1,4,0,7,6,0,1.8,17
218,5620,447.0,20,667,3,1,5,110467,4.0,0,1,4,0,14,4,0,1.3,13
219,19130,2148.0,34,398,9,1,5,157000,4.0,0,1,4,0,7,10,0,5.5,16
220,9408,1111.0,20,667,3,0,2,64000,4.0,3,1,4,1,1,4,0,1.3,14
222,15367,640.0,58,1083,9,1,1,179200,4.0,2,1,4,0,14,16,1,2.0,13
223,5959,1730.0,7,281,9,1,5,246976,8.0,0,1,4,0,1,12,0,5.3,15
224,26594,777.0,22,808,7,1,1,179918,4.0,0,1,4,0,12,4,0,2.5,12
225,36065,779.0,55,283,9,1,2,92200,4.0,2,1,4,0,0,12,0,2.5,13
226,26343,730.0,27,464,9,1,1,29000,4.0,2,1,4,0,12,8,1,1.6,10
227,549,862.0,33,412,9,1,5,216550,4.0,0,1,4,0,1,12,0,2.5,15
228,6000,3855.53,26,800,4,0,5,240000,6.0,0,0,4,0,6,5,0,4.0,33
229,40142,1811.0,30,777,4,1,5,357246,8.0,0,0,4,0,7,0,0,4.6,16
230,14000,585.0,22,617,9,0,5,50000,4.0,2,1,4,0,7,10,0,1.8,13
231,17923,473.0,7,523,9,1,5,127842,4.0,0,1,4,0,14,4,0,1.4,12
232,54518,831.0,22,1389,4,1,5,40193,4.0,0,1,4,0,1,4,0,1.6,9
233,10349,1379.62,40,269,3,0,5,180000,4.0,1,1,4,0,12,6,0,1.6,23
234,8154,1234.87,55,863,3,0,5,115000,4.0,0,1,4,1,12,7,0,1.3,24
236,7527,640.0,58,1083,9,1,1,132310,4.0,0,1,4,0,7,12,0,2.0,13
237,3450,1249.0,55,425,9,1,5,60762,4.0,0,1,4,0,14,12,0,2.5,9
238,22063,836.0,22,1389,4,1,1,142264,4.0,0,1,4,0,14,4,0,2.0,16
239,2901,503.0,20,471,9,1,2,146403,4.0,0,1,4,0,14,0,0,1.5,14
240,4704,585.0,55,493,9,1,5,227371,4.0,0,1,4,0,12,12,0,1.8,13
241,5331,4064.42,58,1083,9,1,5,175000,6.0,1,1,4,0,7,6,0,2.8,24
242,941,642.0,58,866,9,1,1,203440,4.0,0,1,4,0,1,12,0,2.0,14
243,16900,502.0,20,667,3,1,5,70000,4.0,0,1,4,0,2,4,0,1.5,13
244,18189,1024.0,39,1220,4,1,5,122000,4.0,0,0,4,0,12,4,0,2.5,16
245,5331,3766.25,33,973,7,0,5,127000,4.0,0,1,4,0,6,4,0,2.5,26
246,42651,1017.0,34,762,4,1,5,44995,4.0,0,0,4,0,1,0,0,2.0,9
247,15524,586.0,55,1116,3,0,2,122324,4.0,0,1,4,0,11,7,0,1.8,14
248,17249,2071.06,4,151,9,1,5,111111,6.0,2,2,4,0,7,10,0,3.0,19
249,73071,1055.0,30,773,9,1,5,56000,6.0,2,2,4,0,1,12,0,3.5,13
250,862,333.0,15,725,9,1,2,186048,4.0,0,1,4,0,1,0,0,2.0,12
251,28909,831.0,22,617,9,1,1,98000,4.0,0,1,4,0,14,4,0,1.6,9
252,8467,642.0,22,1286,9,1,4,573249,4.0,0,1,4,0,1,4,0,2.0,14
254,14426,639.0,22,1286,9,1,4,169024,4.0,0,1,4,0,14,4,0,2.0,12
255,9000,1325.0,58,1270,7,0,5,126000,4.0,0,1,4,1,12,6,0,1.4,15
256,30734,1053.0,34,587,9,1,1,200179,6.0,0,0,4,0,1,12,0,3.5,12
257,22580,779.0,55,425,9,1,5,156666,4.0,0,1,4,0,1,12,0,2.5,13
258,862,259.0,7,1448,4,1,2,133195,4.0,0,1,4,0,1,0,0,1.4,12
259,7464,247.0,20,667,3,1,2,114950,4.0,0,1,4,0,2,4,0,1.3,12
260,1333,1091.0,15,725,9,1,5,154850,4.0,0,1,4,0,1,12,0,2.5,10
261,59865,879.0,22,1389,4,1,1,13000,4.0,0,1,4,0,14,4,0,1.6,7
262,49237,1342.0,55,1348,4,1,5,94262,4.0,0,2,4,0,14,12,0,2.7,9
263,68223,1327.0,22,808,10,1,1,27406,4.0,0,1,4,0,15,4,0,2.5,8
265,7683,1482.65,39,1359,9,1,0,200000,4.0,3,1,4,0,12,2,0,1.8,20
266,22266,530.0,15,725,9,1,5,85500,4.0,0,1,4,0,1,8,1,1.6,13
267,2430,1598.0,34,587,9,1,1,175614,6.0,0,2,4,0,1,12,0,3.0,18
270,33556,765.0,34,334,9,1,5,0,4.0,0,2,4,0,1,12,0,2.0,11
271,39161,831.0,51,239,4,1,1,73000,4.0,0,1,4,0,14,4,0,1.6,9
272,16308,1195.0,15,1369,6,0,1,180000,4.0,1,1,4,0,14,2,0,2.2,18
273,17719,1141.0,55,425,9,1,2,92000,4.0,2,1,4,0,13,8,0,2.4,17
274,43278,1514.0,30,776,4,1,5,160138,8.0,0,0,4,0,14,0,0,4.6,15
276,20385,738.0,7,523,9,0,5,42000,4.0,2,1,5,0,1,12,1,1.4,9
277,941,1935.0,55,1394,4,1,5,254805,8.0,0,0,4,0,14,12,0,4.6,10
278,49858,1077.0,22,1389,4,1,1,48000,4.0,0,1,4,0,14,4,0,2.0,7
279,8781,5434.17,39,635,7,1,1,230000,4.0,0,0,4,1,14,4,1,3.2,28
281,9722,765.0,22,1286,9,1,4,582376,4.0,0,1,4,0,8,4,0,2.0,11
282,21326,3684.88,34,396,9,1,5,2000,8.0,0,2,4,0,7,12,0,5.0,20
283,51075,1017.0,22,1389,4,1,1,40800,4.0,0,1,4,0,14,4,0,2.0,9
284,15241,707.0,22,784,1,1,5,117492,4.0,0,1,4,0,7,4,0,2.0,15
285,2587,382.0,15,725,9,1,2,88795,4.0,0,1,4,0,1,0,0,2.0,11
286,15524,1347.0,22,808,7,1,1,56769,4.0,0,1,4,0,12,4,0,2.5,18
287,27911,544.08,34,324,9,1,5,70000,4.0,2,2,4,0,0,8,1,1.8,12
288,4861,779.0,55,425,9,1,2,136861,4.0,0,1,4,0,2,12,0,2.5,13
289,29793,2867.07,34,1227,9,1,5,263000,4.0,0,2,4,0,1,0,0,3.5,21
290,18208,531.0,22,617,9,1,5,95665,4.0,0,1,4,0,7,4,0,1.6,14
291,549,481.0,22,1286,9,1,2,107387,4.0,0,1,4,0,12,12,0,2.0,9
293,34497,779.0,55,1178,4,0,5,65350,4.0,2,1,4,0,14,12,0,2.5,13
294,6272,1522.0,40,1523,2,0,5,130000,4.0,1,1,4,0,12,0,0,1.8,26
295,4924,1282.0,7,446,4,1,1,183923,4.0,0,1,4,0,12,4,0,2.0,19
296,4704,1953.15,40,1408,3,0,1,11111,4.0,1,1,4,0,11,2,1,2.0,26
297,43576,1091.0,22,808,10,1,1,97129,4.0,0,1,4,0,12,4,0,2.5,10
298,7840,2823.33,34,310,9,1,0,140000,4.0,1,2,4,0,1,4,0,2.0,25
299,28225,1079.0,55,366,4,0,5,24000,4.0,0,1,4,0,7,8,0,2.0,8
300,700,1246.42,40,264,9,0,5,0,4.0,1,1,4,0,14,2,0,1.1,34
301,2352,1663.35,33,84,3,0,5,300000,4.0,1,1,4,0,12,2,0,1.5,28
302,18817,738.0,7,523,3,1,5,29094,4.0,0,1,4,0,7,0,0,1.4,9
303,4861,382.0,15,725,9,1,2,148709,4.0,0,1,4,0,11,12,0,2.0,11
304,13172,1399.0,30,1203,4,1,2,186005,6.0,0,0,4,0,12,12,0,3.5,16
305,37320,1055.0,34,594,9,1,5,156800,4.0,2,0,4,0,1,12,0,3.5,13
306,706,1017.0,15,645,4,1,5,251430,4.0,0,1,4,0,2,12,0,2.0,9
307,39201,456.0,55,425,9,1,2,35000,4.0,0,1,4,0,7,10,0,2.5,11
308,36426,880.0,22,617,9,1,4,35643,4.0,0,1,4,0,14,4,0,1.6,8
309,8467,1431.01,20,471,3,0,5,250000,4.0,1,1,4,1,7,4,0,1.8,20
310,7840,5598.52,34,386,1,1,5,255000,6.0,2,2,2,0,12,4,0,3.2,26
311,12701,900.0,20,513,4,1,5,117158,4.0,0,1,4,0,14,12,0,2.4,11
312,8154,781.0,52,707,4,1,5,281659,4.0,0,0,4,0,2,0,0,2.5,14
313,46414,456.0,55,282,9,1,2,63645,4.0,2,1,4,0,14,12,0,2.5,11
314,45160,798.0,34,949,4,1,1,197338,4.0,0,0,4,0,14,12,0,2.1,11
317,1176,639.0,37,478,3,1,5,136634,4.0,0,1,4,0,12,12,0,2.0,12
318,12231,587.995,22,617,1,0,5,77000,6.0,1,1,2,0,0,0,0,1.8,13
319,5802,988.0,55,1116,3,1,2,140000,4.0,3,1,4,0,6,12,0,1.5,19
320,2901,1277.0,22,1286,9,1,5,45494,4.0,0,1,4,0,14,12,0,2.4,8
